Title,Genre,Exhibit,DocType,Publisher,Date,Notes,UofC_ID,WEA_ID_extant,WEA_ID_new,Transcribers,Transcriber_IDs,PDF_Link_GDrive,UofC_PDF_Link
The King's Daughter,genreShortStory,Alberta,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111913093,KingsDaughter1,,,,KingsDaughter1.pdf,PDF
"
In the Castle of Hikone",genreShortStory,Japan,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111913101,InTheCastle1,,"Spencer Tricker, Shoshannah Ganz","ST1, SG1",InTheCastle1.pdf,PDF
When Christmas Came to Fukui,genreShortStory,Japan,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111948553,WhenChristmasCame1,,"Yuki Matsumoto, Koby Song-Nichols, Paul Birchall","YM1, KSN1, PB1",WhenChristmasCame1.pdf,PDF
"The ""Beautifullest"" One",genreShortStory,Alberta,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111913094,BeautifullestOne1,,,,BeautifullestOne1.pdf,PDF
Her Love Sin (Part 2),genreShortStory,Alberta,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111976229,HerLoveSin2,,,,HerLoveSin2.pdf,PDF
Movie Relatives,genreNF,Hollywood,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU112046766,,MovieRelatives1,,,MovieRelatives1.pdf,PDF
As I Was Saying,genreShortStory,Hollywood,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU112046756,,AsIWasSaying1,Harriet Green,HG1,AsIWasSaying1.pdf,PDF
Journal Letters,genreNF,Alberta,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111850124,,JournalLetters1,,,JournalLetters1.pdf,PDF
Wolf of Wall Street,genreFilm,Hollywood,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU112046640,,WolfOfWallStreet1,,,WolfOfWallStreet1.pdf,PDF
Re: Barbary Coast 1,genreMemo,Hollywood,docPrimarySourceMS,,,Facsimile retrieved from Winnifred Eaton Reeve Fonds at University of Calgary.,CU111850106,,RE-BarbaryCoast1,Paul Birchall,PB1,RE-BarbaryCoast1.pdf,
